HIP,MH,eMH,Teff,eTeff,logg_x,elogg,L,eL,label,#Id,age,age_68L,age_68U,mass,mass_68L,mass_68U,logg_y,logg_68L,logg_68U,rad,rad_68L,rad_68U,logrho,logrho_68L,logrho_68U,logg_spec,logg
96459,0.063,0.025,5034,34,3.324,0.099,14.5376561394,0.5003725849,field,96459,1.4328,1.3071,1.6192,1.8074,1.7315,1.8694,3.284,3.253,3.3112,4.9698,4.8635,5.0775,-1.8514,-1.8901,-1.8159,3.324,3.284
96481,-0.068,0.068,5489,77,2.29,0.208,497.737294859,156.112639885,field,96481,0.1448,0.1239,0.1728,4.1717,3.8772,4.4917,2.3241,2.2043,2.4227,22.8078,19.6504,27.3705,-3.4728,-3.6716,-3.3095,2.29,2.3241
96837,-0.006,0.073,4928,95,2.492,0.288,336.4364922,25.5629836659,field,96837,0.2141,0.1902,0.2392,3.776,3.6467,3.9012,2.2055,2.1727,2.2367,24.8811,23.7902,26.0394,-3.6293,-3.6809,-3.5794,2.492,2.2055
97938,-0.172,0.034,4765,49,2.556,0.114,47.819233075,2.0992584146,field,97938,6.6643,2.0846,12.5627,1.0797,0.9065,1.545,2.4005,2.3573,2.6076,10.233,9.9642,10.454,-3.0641,-3.0943,-2.831,2.556,2.4005
98571,0.107,0.053,4801,70,2.367,0.152,190.090315293,12.0066234482,field,98571,0.2919,0.246,0.3423,3.4515,3.3059,3.5724,2.3881,2.3499,2.4181,19.2996,18.5803,20.0825,-3.3367,-3.3904,-3.2908,2.367,2.3881
99031,0.032,0.027,5183,36,3.74,0.063,3.9057471697,0.1276594341,field,99031,4.4738,4.2112,4.7619,1.2689,1.2446,1.2933,3.7527,3.7357,3.7681,2.4312,2.379,2.4823,-1.0722,-1.0968,-1.0479,3.74,3.7527
99951,0.125,0.054,5206,64,3.021,0.117,131.121501526,10.2540819937,field,99951,0.2703,0.2593,0.2842,3.3545,3.288,3.4136,2.7005,2.6774,2.7275,13.2807,12.741,13.7567,-2.8614,-2.8997,-2.8168,3.021,2.7005
103294,-0.119,0.046,4677,62,2.1,0.153,220.696794668,18.077785463,field,103294,0.5889,0.418,0.8184,2.6053,2.3514,2.829,2.1357,2.0789,2.1859,22.3789,21.3801,23.4296,-3.6538,-3.7245,-3.5866,2.1,2.1357
105515,0.079,0.047,5274,56,3.21,0.112,66.334179779,2.9086155989,field,105515,0.4029,0.3877,0.4201,2.8663,2.8193,2.9121,2.9225,2.9041,2.9436,9.5063,9.2015,9.7524,-2.4949,-2.5224,-2.4591,3.21,2.9225
105854,0.088,0.051,4612,88,2.266,0.258,45.801808315,2.6604572333,host,105854,10.1959,5.9788,12.6093,1.014,0.9593,1.1997,2.3707,2.3502,2.4207,10.6836,10.4656,10.9275,-3.0918,-3.12,-3.0566,2.266,2.3707
