HIP,HD,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Notes
HIP40232,68462.0,,,,,,,,,,EPIC
HIP40458,69031.0,,,,,,,,,,EPIC
HIP40471,69030.0,4801.0,95.0,95.0,2.695,0.16,0.256,-0.02,0.15,0.24,EPIC
HIP40483,69072.0,4776.0,76.0,57.0,2.651,0.145,0.174,0.016,0.12,0.18,EPIC
HIP40675,69629.0,,,,,,,,,,EPIC
HIP40719,69718.0,6512.0,197.0,158.0,4.144,0.08,0.08,0.016,0.1,0.16,EPIC
HIP40904,70133.0,,,,,,,,,,EPIC
HIP41232,70826.0,5416.0,167.0,200.0,2.502,0.042,0.049,-1.129,0.36,0.24,EPIC
HIP41247,70899.0,,,,,,,,,,EPIC
HIP41311,70989.0,,,,,,,,,,EPIC
HIP41421,71261.0,,,,,,,,,,EPIC
HIP41470,,4643.0,111.0,111.0,2.451,0.175,0.125,-0.002,0.15,0.18,EPIC
HIP41513,,6538.0,200.0,200.0,4.297,0.035,0.049,-0.061,0.12,0.15,EPIC
HIP41524,71428.0,4885.0,59.0,99.0,2.765,0.095,0.342,-0.112,0.12,0.3,EPIC
HIP41560,,6216.0,186.0,149.0,4.038,0.215,0.215,-0.097,0.15,0.27,EPIC
HIP41613,,6247.0,290.0,242.0,3.852,0.198,0.165,-0.003,0.12,0.15,EPIC
HIP41635,71750.0,,,,,,,,,,EPIC
HIP41663,,6546.0,158.0,158.0,4.13,0.156,0.208,-0.044,0.12,0.15,EPIC
HIP41710,71847.0,5098.0,156.0,156.0,3.171,0.315,0.567,-0.427,0.35,0.63,EPIC
HIP41900,72306.0,4898.0,79.0,79.0,2.783,0.09,0.162,-0.039,0.15,0.15,EPIC
HIP41951,72429.0,6263.0,221.0,184.0,3.724,0.04,0.072,0.041,0.08,0.1,EPIC
HIP41997,72490.0,4975.0,120.0,120.0,3.005,0.224,0.14,-0.526,0.4,0.4,EPIC
HIP42209,,4425.0,52.0,69.0,2.472,0.133,0.114,0.237,0.05,0.08,EPIC
HIP42298,73142.0,6167.0,217.0,145.0,3.887,0.088,0.055,0.016,0.12,0.15,EPIC
HIP42303,,5154.0,103.0,103.0,2.631,0.765,0.255,-0.85,0.25,0.3,EPIC
HIP42355,73315.0,,,,,,,,,,EPIC
HIP42375,73349.0,,,,,,,,,,EPIC
HIP42630,73923.0,,,,,,,,,,EPIC
HIP42632,,4839.0,149.0,119.0,2.566,0.264,0.198,-0.14,0.16,0.4,EPIC
HIP42704,74092.0,,,,,,,,,,EPIC
HIP42797,74227.0,4701.0,94.0,94.0,2.627,0.144,0.192,0.108,0.08,0.14,EPIC
HIP42816,,4854.0,77.0,77.0,2.776,0.125,0.225,-0.025,0.12,0.21,EPIC
HIP42840,,4864.0,78.0,78.0,2.733,0.105,0.294,-0.057,0.12,0.27,EPIC
HIP42848,74328.0,5927.0,173.0,173.0,4.034,0.065,0.091,-0.154,0.25,0.35,EPIC
HIP42890,,4779.0,146.0,146.0,2.477,0.253,0.138,-0.153,0.2,0.36,EPIC
HIP42911,74442.0,,,,,,,,,,EPIC
HIP42927,74465.0,,,,,,,,,,EPIC
HIP42943,74567.0,,,,,,,,,,EPIC
HIP42950,74590.0,6531.0,264.0,264.0,3.933,0.07,0.07,0.026,0.12,0.12,EPIC
HIP43053,,4832.0,97.0,97.0,2.87,0.51,0.425,-0.062,0.15,0.21,EPIC
HIP43275,,4731.0,94.0,94.0,2.254,0.264,0.616,-0.737,0.48,0.48,EPIC
